round,date,home,away,p_home_blend,market_p_home,edge_home,books,best_odds_home,best_odds_away,disp_home,disp_away,value_side,value_ev_pct
Round 26,2026-08-27 19:50:00,Brisbane Broncos,Melbourne Storm,0.4442,0.5105,-0.0663,3,1.87,1.95,0.0,0.0,Melbourne Storm,8.381
Round 26,2026-08-28 18:00:00,Manly-Warringah Sea Eagles,St George Illawarra Dragons,0.8056,0.6674,0.1382,3,1.42,2.85,0.0,0.0,Manly-Warringah Sea Eagles,14.3952
Round 26,2026-08-28 20:00:00,Penrith Panthers,Canterbury-Bankstown Bulldogs,0.7868,0.6951,0.0917,3,1.37,3.1,0.0074,0.0,Penrith Panthers,7.7916
Round 26,2026-08-29 15:00:00,Gold Coast Titans,South Sydney Rabbitohs,0.3753,0.3218,0.0535,3,2.95,1.43,0.0,0.0214,Gold Coast Titans,10.7135
Round 26,2026-08-29 17:30:00,Sydney Roosters,Dolphins,0.5751,0.6125,-0.0374,3,1.55,2.45,0.0,0.0,Dolphins,4.1005
Round 26,2026-08-29 19:35:00,North Queensland Cowboys,Wests Tigers,0.7235,0.7292,-0.0057,3,1.3,3.8,0.0,0.0857,Wests Tigers,5.07
Round 26,2026-08-30 14:00:00,New Zealand Warriors,Newcastle Knights,0.7176,0.6713,0.0463,3,1.42,2.9,0.0,0.0,New Zealand Warriors,1.8992
Round 26,2026-08-30 16:05:00,Parramatta Eels,Cronulla-Sutherland Sharks,0.327,0.3468,-0.0198,3,2.75,1.46,0.0,0.0,Cronulla-Sutherland Sharks,-1.742
